WorkerId,Input.prompt,Answer.answer
undefined,Az Emberi listens at the cave to figure out useful info Perception 25,[]
undefined,"Absinthe bellows out a frightfully loud growl before changing towards the closest bugbear. ""This is what you had up your sleeve?"" Lightbringer Attack: 8 Damage: 10 Throat punch Attack: 16 Damage: 5 Ki point kick to stones Attack: 24 Damage: 5","[{""creature"":{""words"":[[""Absinthe""]],""indices"":[[0]]},""target"":{""words"":[[""bugbear.""]],""indices"":[[12]]},""feature"":{""words"":[[""Ki"",""point""]],""indices"":[[32,33]]},""attack"":{""words"":[[""kick"",""to"",""stones""]],""indices"":[[34,35,36]]},""attackRoll"":{""words"":[[""24""]],""indices"":[[38]]},""damageRoll"":{""words"":[[""5""]],""indices"":[[40]]}},{""creature"":{""words"":[[""Absinthe""]],""indices"":[[0]]},""target"":{""words"":[[""bugbear.""]],""indices"":[[12]]},""attack"":{""words"":[[""Throat"",""punch""]],""indices"":[[26,27]]},""attackRoll"":{""words"":[[""16""]],""indices"":[[29]]},""damageRoll"":{""words"":[[""5""]],""indices"":[[31]]}},{""creature"":{""words"":[[""Absinthe""]],""indices"":[[0]]},""target"":{""words"":[[""bugbear.""]],""indices"":[[12]]},""attack"":{""words"":[[""Lightbringer""]],""indices"":[[21]]},""attackRoll"":{""words"":[[""8""]],""indices"":[[23]]},""damageRoll"":{""words"":[[""10""]],""indices"":[[25]]}}]"
Adrian,AZ! Hit the deck! Shatter above Az head to hit the 4 above him with shatter con save or half damage and damages non magical objects as well thunder dmg 14 hold on Fjolnir acid splash on the 2 creatures attached to him DeX saving throw no damage on success 5,"[{""spell"":{""words"":[[""acid"",""splash""]],""indices"":[[34,35]]},""target"":{""words"":[[""2"",""creatures"",""attached"",""to"",""him""]],""indices"":[[38,39,40,41,42]]},""damageRoll"":{""words"":[[""5""]],""indices"":[[50]]}},{""spell"":{""words"":[[""Shatter""]],""indices"":[[4]]},""target"":{""words"":[[""4"",""above"",""him""]],""indices"":[[11,12,13]]},""damageRoll"":{""words"":[[""14""]],""indices"":[[30]]}}]"
Adrian,I need a breath firebolt 9 damage 3,"[{""spell"":{""words"":[[""firebolt""]],""indices"":[[4]]},""attackRoll"":{""words"":[[""9""]],""indices"":[[5]]},""damageRoll"":{""words"":[[""3""]],""indices"":[[7]]}}]"
Adrian,"Az Emberi's stone smashes through the damaged one's spine, shattering its midsection and it crumples to the ground in a heap. Hymir climbs up on the stone coffin and casts burning hands on the other two skeletons. Flames engulf both of them 9 3 They both fail to get out of the way and take a full 9 damage each. Absinthe, Dirk and Fjolnir are up.","[{""creature"":{""words"":[[""Hymir""]],""indices"":[[21]]},""spell"":{""words"":[[""burning"",""hands""]],""indices"":[[30,31]]},""target"":{""words"":[[""the"",""other"",""two"",""skeletons.""]],""indices"":[[33,34,35,36]]},""savingThrow"":{""words"":[[""3""],[""9""]],""indices"":[[43],[42]]},""damageRoll"":{""words"":[[""9""]],""indices"":[[57]]}}]"
Adrian,"Atk. 12 dmg. 8 Then I'll drop my flameblade and summon moon beam on his location. Con 14 or. 12 radiant. ""He's there!"" I move closer to him. Stay 10 feet away.","[{""spell"":{""words"":[[""moon"",""beam""]],""indices"":[[11,12]]},""creature"":{""words"":[[""I""]],""indices"":[[23]]},""target"":{""words"":[[""him.""]],""indices"":[[27]]},""damageRoll"":{""words"":[[""12""]],""indices"":[[19]]}},{""attackRoll"":{""words"":[[""12""]],""indices"":[[1]]},""damageRoll"":{""words"":[[""8""]],""indices"":[[3]]},""creature"":{""words"":[[""I""]],""indices"":[[23]]}}]"
Adrian,Attacking zombie 5 12 Damage 7 + Sneak Attack 3,"[{""target"":{""words"":[[""zombie"",""5""]],""indices"":[[1,2]]},""attackRoll"":{""words"":[[""12""]],""indices"":[[3]]},""damageRoll"":{""words"":[[""3""],[""7""]],""indices"":[[9],[5]]}}]"
undefined,I move to the door I wait for Dust to make his choice. Then I punch the ground and cast spike growth from the point I was standing at that should put each skeleton and myself in the spikes. I ba shillelagh and smack the head of the club in my free hand. Initiative. 3,"[{""creature"":{""words"":[[""I""]],""indices"":[[0]]},""spell"":{""words"":[[""spike"",""growth""]],""indices"":[[20,21]]},""target"":{""words"":[[""myself""],[""each"",""skeleton""]],""indices"":[[35],[32,33]]}}]"
Adrian,"""Another stinking bugbear..."" Fjolnir leans into the door jamb, nocks the second arrow pinched from his fingers, whispers a hunters' mark onto Grol, and looses an arrow while Absinthe tangles with him. Att: 20 Dmg: 9 Hunters Mark 1","[{""creature"":{""words"":[[""Fjolnir""]],""indices"":[[3]]},""attack"":{""words"":[[""arrow""]],""indices"":[[26]]},""target"":{""words"":[[""Grol,""]],""indices"":[[22]]},""attackRoll"":{""words"":[[""20""]],""indices"":[[33]]},""damageRoll"":{""words"":[[""1""],[""9""]],""indices"":[[38],[35]]}},{""creature"":{""words"":[[""Fjolnir""]],""indices"":[[3]]},""spell"":{""words"":[[""hunters'"",""mark""]],""indices"":[[19,20]]},""target"":{""words"":[[""Grol,""]],""indices"":[[22]]}}]"
Adrian,I move behind hymir and chuck a rock throgh the passage at the north goblin in the group of three Atk. 6 dmg. 8,"[{""creature"":{""words"":[[""I""]],""indices"":[[0]]},""attack"":{""words"":[[""rock""]],""indices"":[[7]]},""target"":{""words"":[[""north"",""goblin""]],""indices"":[[13,14]]},""attackRoll"":{""words"":[[""6""]],""indices"":[[21]]},""damageRoll"":{""words"":[[""8""]],""indices"":[[23]]}}]"
Adrian,"The bellows doesn't seem like it will fall apart, but the leather that encases the air that is supposed to go through the nozzle is now full of burnt through holes and is in need of patching or replacement before it can be used. (To move things along) Hymir and Absinthe use the healing spirit as well. 22 / 18 Everyone is at full health. There are several exits to this room aside from the way you came in. To the South is another way into the cavern of ghouls you've already cleared. The channel exits North and East, is 5' deep and can be climbed into or out of without an athletics check but is only 5' tall once it gets past the cavern walls. Most of you need to duck, Absinthe may need to crawl. There is also a carved passage to the East.",[]
Adrian,I cast healing sprite on the area I occupy. A purpley translucent bird appears next to me it heals me for 1 It then flies over to ocupy dirks space using my ba healing him for 5 at the start of his turn.,"[{""creature"":{""words"":[[""I""]],""indices"":[[0]]},""spell"":{""words"":[[""healing"",""sprite""]],""indices"":[[2,3]]},""target"":{""words"":[[""dirks""]],""indices"":[[28]]},""damageRoll"":{""words"":[[""5""]],""indices"":[[36]]}},{""creature"":{""words"":[[""I""]],""indices"":[[0]]},""spell"":{""words"":[[""healing"",""sprite""]],""indices"":[[2,3]]},""target"":{""words"":[[""me""]],""indices"":[[19]]},""damageRoll"":{""words"":[[""1""]],""indices"":[[21]]}}]"
