input,tags
"'About that Sidlar. I've come to ask for your sword to be added in our Struggle. The dragon Venomfang has roosted in Thundertree and claimed these lands as his. He's a young green dragon now but as he ages he will try to lay claim to this town as well. My allies and I have been captured by him I managed to sneak out and deliver Gundren to Phandelver and also to bring you your gear lost to the Cragmaw. My friends and I have saved this town , Gundren, and your life in our short time in these lands. Now we ask for you, an honorable and capable warrior to aid us in our time of need. What say you friend? Will you help us and in doing so prevent this town from also falling victim to the greed of this dragon?","[{""creature"":{""words"":[[""Gundren,""],[""Sidlar.""]],""indices"":[[89],[2]]},""attack"":{""words"":[[""dragon?""],[""Gundren""],[""dragon"",""Venomfang""]],""indices"":[[142],[66],[17,18]]},""spell"":{""words"":[[""Thundertree""]],""indices"":[[22]]},""target"":{""words"":[[""Cragmaw.""],[""Phandelver""]],""indices"":[[79],[68]]}}]"
"'CHARGE!' I exclaim, as I charge in at the closest zombie. Yklwa Attack: 6 Damage: 6 Throat punch Attack: 18 Damage: 4 Ki point backhand Attack: 21 Damage: 7 If I kill the first one, just send the pain down the line.","[{""creature"":{""words"":[[""Yklwa"",""Attack:""]],""indices"":[[11,12]]},""damageRoll"":{""words"":[[""6""]],""indices"":[[13]]},""attackRoll"":{""words"":[[""21""],[""4""],[""6""]],""indices"":[[26],[21],[15]]},""attack"":{""words"":[[""backhand""],[""Throat"",""punch""]],""indices"":[[24],[16,17]]},""spell"":{""words"":[[""pain"",""down""]],""indices"":[[38,39]]}}]"
'Doesn't seem to hurt it. Magic fire is unique.' 'I wonder what it would do to an immortal chattering skull?',"[{""attack"":{""words"":[[""Magic"",""fire""]],""indices"":[[5,6]]},""spell"":{""words"":[[""immortal""]],""indices"":[[17]]}}]"
'Oh damn dam damn....' 9 'Shi....',[]
"'Well it's going to be someone's lucky day.' I say with wide eyes. I loot everything, all to go to group loot and start looking for the best way up. By the way, thanks for all the treasure.... *****. I'm calling you ***** now discount, cave dwelling loser.","[{""creature"":{""words"":[[""loot""]],""indices"":[[14]]},""target"":{""words"":[[""cave"",""dwelling""]],""indices"":[[45,46]]}}]"
7 hd recovery,"[{""savingThrow"":{""words"":[[""7""]],""indices"":[[0]]}}]"
7 to deceive!,"[{""attackRoll"":{""words"":[[""7""]],""indices"":[[0]]}}]"
"Absinthe attempts to squish the goblin with his torch, but it ducks the blow. He comes back with his other hand and actually does make his head squish. He goes over to hold his torch down the hole to the west, but it curves halfway down and he can't see all the way down. Fjolnir palms his arrow and his glancing around the room reveals no other living things. He doesn't notice any traps, but the fire pit looks dangerous. Secret DM Roll: 12 Everyone: Give me one shortish thing you'd like to do.","[{""creature"":{""words"":[[""Absinthe""]],""indices"":[[0]]},""target"":{""words"":[[""goblin""]],""indices"":[[5]]},""attack"":{""words"":[[""arrow""],[""torch,""]],""indices"":[[57],[8]]},""attackRoll"":{""words"":[[""12""]],""indices"":[[83]]}}]"
"Absinthe casually strolls out of the thicket back to the road, figuring this fight is over, and he's not going to catch the little chicken shit anyway. There's enough of the team throwing things at him, something has to hit. No, Absinthe 'Smashface' Stormbrew isn't really a closer. He doesn't chase cowards who refuse to stand their ground. He ain't about that life. He's a man of honor! He's a man of faith! He's a man who shoves goblin's heads up their asses! With relative ease, too. So there, on the Triboar Trail lies a goblin, head inside his rectal cavity like a reverse ouroboros. The remaining goblin, glancing back for a moment, enough to see this gruesome display, who was already fleeing in terror from the goliath, is now running while openly weeping. the frantic nature of his escape causes him to fumble a couple of times, but in between, he makes up the distance due to the increased threat of having his corpse desecrated like some disgusting plaything. Whether it was the sporadic movements, the fumbling, or the distraction of his own teammate taking a break from combat to perform a surgical procedure that ended in a goblin ring, Fjolnir threw the shot. Hymir flung another mote of flame, catching the goblin right in the shield. Scene: Triboar Trail runs East/West. You were headed East before the ambush. The dead horses are 50ft from where you parked the oxen and wagon. The trail is about 15ft wide with thickets that run up the slopes on either side. Goblin 1 and 2: Dead on the trail Goblin 3: Taken 6 damage, 75ft North of the road, past the thickets, cresting the top of the hill. Goblin4: Dead in the North thickets Fjolnir: 2 HP, 30ft west of horses Hymir: Near Fjolnir Dirk: Near the dead horses and goblins on the trail Az Emeri: Near the dead horses and goblins on the trail Absynthe: Near the dead horses and goblins on the trail, holding a 'goblin ring'","[{""damageRoll"":{""words"":[[""2""]],""indices"":[[293]]},""target"":{""words"":[[""Az"",""Emeri:""]],""indices"":[[312,313]]},""creature"":{""words"":[[""goblins""]],""indices"":[[329]]},""attack"":{""words"":[[""'goblin"",""ring'""]],""indices"":[[335,336]]}},{""creature"":{""words"":[[""Fjolnir""]],""indices"":[[201]]},""target"":{""words"":[[""Hymir""]],""indices"":[[205]]},""attack"":{""words"":[[""flame,""]],""indices"":[[210]]}},{""target"":{""words"":[[""goblin,""]],""indices"":[[95]]},""creature"":{""words"":[[""goliath,""]],""indices"":[[127]]}},{""attack"":{""words"":[[""Absinthe"",""'Smashface'""]],""indices"":[[0,42]]},""target"":{""words"":[[""Stormbrew""]],""indices"":[[43]]}}]"
Absinthe charges R3 like a linebacker attempting to sack the opponents Quarterback. With his shoulder out he smashes into the back of R3. Attack: 15 Damage: 3,"[{""creature"":{""words"":[[""Absinthe""]],""indices"":[[0]]},""attack"":{""words"":[[""linebacker""],[""R3""]],""indices"":[[5],[2]]},""target"":{""words"":[[""Quarterback.""]],""indices"":[[11]]},""attackRoll"":{""words"":[[""15""]],""indices"":[[24]]},""damageRoll"":{""words"":[[""3""]],""indices"":[[26]]}}]"
